PERSONID	SERIAL	MOTIVE	MEANS1	CHARACTER1	OCCASION1	LOCATION1	OBJECT1	SPECIALTY1	INVADEMODE1	FLEEMODE1	TOOL1	FASHION1	TOOLSSOURCE1	COMMRULE1	ZONE1
R3607020019992007120124	1	107	4690	302	11	1707	547	18	2309	4	N0305	299	11	13	542624
R3607020019992007120125	1	120	6100	803	26	1706	563	5	2108	6	I0900	300	11	19	210124
R3607020019992007120126	1	127	2201	503	10	1601	540	50	2212	3	B0100	100	11	12	430600
R3607020019992007120127	1	110	5306	200	11	1402	505	40	2113	2	D0108	313	11	16	650201
R3607020019992007120262	1	103	2107	304	30	2281	546	48	2404	1	L0701	110	11	19	513221
R3607020019992007120301	1	119	2201	801	61	1700	514	10	2113	4	H1105	311	11	14	653022
R3607020019992008010002	1	104	7190	809	32	2207	507	4	2110	5	W0776	311	11	12	362426
R3607020019992008010003	1	108	1380	563	70	1200	547	81	2209	3	C0113	201	11	14	652323
R3607020019992008010004	1	107	5318	512	66	2114	564	21	2302	4	B0901	312	11	16	421302
R3607020019992008010005	1	113	2109	301	51	1308	574	9	2213	1	W0300	301	11	12	350322
R3607020019992008010006	1	103	4302	514	66	2221	532	2	2113	5	E0112	120	11	15	220703
R3607020019992008010007	1	120	4903	527	50	2231	509	15	2210	1	G0699	311	11	18	130522
R3607020019992008010009	1	111	5118	401	50	1303	557	31	2118	4	X0057	311	11	18	422825
R3607020019992008010010	1	125	5706	569	71	1781	550	19	2302	6	A1299	205	11	17	652829
R3607020019992008010011	1	122	3290	571	11	2383	518	47	2402	1	P0103	190	11	12	431230
R3607020019992008010053	1	123	4200	402	48	2313	508	32	2204	1	C0237	200	11	11	542121
R3607020019992008010062	1	122	7404	540	10	2401	532	19	2200	2	R0399	202	11	13	140211
R3607020019992008010063	1	122	7403	534	23	2481	542	19	2303	1	A1099	302	11	12	120101
R3607020019992008010064	1	127	7208	590	60	1303	535	51	2404	1	J0201	208	11	14	152135
R3607020019992008010065	1	105	4907	549	50	701	511	43	2101	5	K0820	207	11	19	430909
R3607020019992008010066	1	122	6301	110	69	1681	517	10	2121	2	C0605	301	11	16	360702
R3607020019992008010067	1	108	7108	511	16	381	501	21	2113	2	M0100	302	11	15	410703
R3607020019992008010069	1	106	6401	504	73	1310	572	47	2125	5	S0201	299	11	14	662122
R3607020019992008020001	1	121	3480	120	28	340	510	10	2301	4	X0022	206	11	12	441202
R3607020019992008020002	1	119	5313	517	46	100	537	20	2125	2	P0102	300	11	12	632624
R3607020019992008020003	1	113	5717	301	63	1400	531	32	2113	5	A0592	209	11	14	452628
R3607020019992008020004	1	124	5114	544	70	2108	520	82	2300	2	A0592	313	11	16	411612
R3607020019992008020009	1	114	3240	503	45	2322	526	27	2304	2	A1505	202	11	16	341001
R3604810000002008020463	1	107	6408	563	13	380	540	8	2124	2	G0202	201	11	16	411601
R3604810000002008020464	1	103	5404	547	63	1705	562	46	2201	3	X0019	120	11	19	320404
R3604810000002008020465	1	126	2116	518	61	2232	536	7	2208	5	O0202	110	11	18	410926
R3604810000002008020466	1	108	6429	121	27	2286	522	3	2203	1	B0701	190	11	12	341301
R3604810000002008020467	1	106	6110	508	71	2212	543	8	2401	6	G0601	301	11	12	220421
R3604810000002008020468	1	123	5208	500	60	2221	565	45	2104	2	B0799	312	11	14	152528
R3604810000002008020469	1	117	5319	130	68	1307	535	31	2117	2	C0310	120	11	19	140322
R3604810000002008020470	1	104	3306	531	46	2313	523	11	2305	6	Y0055	209	11	15	142601
R3604810000002008020471	1	124	5718	190	23	1107	515	43	2103	6	F0304	208	11	14	640101
R3604810000002008020472	1	107	2407	559	64	599	526	35	2406	3	B0202	312	11	12	320302
R3604810000002008020473	1	125	5306	810	13	1210	548	29	2119	3	X0026	301	11	14	510800
R3604810000002008020474	1	117	7114	529	11	2101	573	32	2102	2	E0100	203	11	12	522424
R3604810000002008020475	1	103	3300	528	11	2286	558	8	2101	6	B0899	300	11	18	120108
R3604810000002008020476	1	126	2402	531	52	1404	511	3	2401	1	K0499	204	11	15	320405
R3604810000002008020477	1	113	2900	590	25	2317	503	22	2108	5	X0019	301	11	18	341300
R3604810000002008020478	1	121	4401	124	31	1104	509	40	2207	3	G0305	302	11	13	411528
R3604810000002008020479	1	118	1106	505	21	2385	502	17	2304	1	B0600	313	11	19	510626
R3604810000002008020480	1	115	4508	110	10	2109	508	18	2110	4	B0907	100	11	16	321321
R3604810000002008020481	1	112	3290	564	42	330	553	20	2207	6	A1799	190	11	15	510301
R3604810000002008020482	1	125	7402	300	51	2109	556	32	2401	3	B0904	205	11	17	460000
R3604810000002008020483	1	126	7302	527	30	1306	508	15	2112	5	F0201	120	11	18	452701
R3604810000002008020484	1	112	5112	556	31	599	535	45	2107	6	N0300	302	11	14	610425
R3604810000002008020485	1	104	5102	304	73	2220	564	81	2108	2	H1001	201	11	11	130523
R3604810000002008020486	1	122	7403	510	71	1308	525	18	2204	4	E0114	110	11	14	520122
R3604810000002008020487	1	103	7108	406	28	2204	534	10	2126	1	A1795	313	11	12	452227
R3604810000002008020488	1	122	6402	521	68	1801	513	5	2105	6	C0104	299	11	12	230707
R3604810000002008020489	1	101	5200	560	61	2300	517	27	2303	6	H1199	300	11	12	522501
R3604810000002008020490	1	101	4980	544	10	1102	558	23	2101	3	C0111	209	11	19	511323
R3604810000002008020491	1	126	4511	537	47	2403	573	10	2402	2	I1000	301	11	12	420323
R3604810000002008020492	1	101	5319	549	32	2218	555	6	2104	6	A1701	110	11	14	445321
R3604810000002008020493	1	122	5709	525	60	2214	505	20	2306	3	X0058	120	11	13	522632
R3604810000002008020494	1	113	6201	535	14	1590	507	25	2104	6	R0202	203	11	18	662123
R3604810000002008020495	1	127	7390	406	63	2223	550	33	2402	4	C0110	302	11	15	152631
R3604810000002008020496	1	101	7207	404	13	2101	550	10	2114	2	J0302	209	11	14	220622
R3604810000002008020497	1	116	4105	550	48	199	547	32	2102	4	Q0705	203	11	19	320504
R3604810000002008020500	1	108	1301	406	27	310	552	9	2120	3	L0310	120	11	15	441823
R3604810000002008020501	1	107	5607	808	22	2406	522	29	2205	5	G0404	207	11	18	350125
R3604810000002008020502	1	121	3301	510	62	2232	533	31	2111	2	V0111	209	11	17	450321
R3604810000002008020503	1	109	2406	490	24	1404	542	15	2205	1	W0736	203	11	16	532924
R3604810000002008020504	1	104	2204	551	64	2329	539	6	2105	6	P0203	200	11	15	542135
R3604810000002008020505	1	113	5714	800	25	1805	560	45	2102	6	W0040	209	11	13	150404
R3604810000002008020506	1	126	1102	539	66	2181	520	82	2103	2	Q0499	311	11	14	420102
R3604810000002008020507	1	123	6000	204	61	1403	512	46	2126	5	C0215	301	11	16	513437
R3604810000002008020508	1	127	7207	801	65	2110	552	50	2204	6	C0236	300	11	16	340803
R3604810000002008020509	1	113	3407	566	25	2111	571	41	2111	6	J0104	203	11	13	509921
R3604810000002008020510	1	117	3508	540	45	1304	567	48	2307	3	U0310	201	11	17	430422
R3604810000002008020511	1	114	5700	123	61	1702	551	42	2111	1	K0499	301	11	13	340711
R3604810000002008020512	1	124	3280	533	15	2399	539	4	2108	1	M0503	208	11	12	510900
R3604810000002008020513	1	114	5312	590	11	2214	560	50	2120	1	A1705	120	11	13	360421
R3604810000002008020514	1	125	6439	573	13	700	532	80	2119	2	F0607	204	11	12	152500
R3604810000002008020515	1	118	3000	523	68	1306	548	12	2301	2	Q0104	313	11	14	662621
R3604810000002008020516	1	117	6301	530	66	1680	573	12	2108	1	L0207	202	11	11	622925
R3604810000002008020517	1	111	2114	302	25	2406	528	14	2120	5	F0400	190	11	11	610702
R3604810000002008020518	1	108	4101	190	52	1300	535	9	2210	2	N0209	313	11	17	652828
R3604810000002008020519	1	117	5312	566	47	2235	529	1	2115	1	C0610	301	11	14	511526
R3604810000002008020520	1	109	5412	555	50	1402	522	45	2112	1	I0799	110	11	16	340800
R3604810000002008020521	1	109	6434	406	47	2381	505	80	2124	5	C0102	301	11	12	130521
R3604810000002008020522	1	112	4513	519	43	500	567	16	2205	6	U0120	205	11	14	460000
R3604810000002008020523	1	127	4502	804	10	1308	520	46	2405	2	Q0302	207	11	19	150524
R3604810000002008020524	1	121	6438	546	60	2232	519	40	2104	3	F0606	313	11	12	513337
R3604810000002008020525	1	115	5700	501	68	1804	566	25	2403	3	N0301	120	11	17	110224
R3604810000002008020526	1	113	4203	542	65	2284	570	15	2208	1	C0114	301	11	11	632128
R3604810000002008020527	1	124	1300	563	63	2402	508	47	2301	4	A0109	313	11	17	610326
R3604810000002008020528	1	108	4506	552	16	2206	526	49	2104	2	C0401	120	11	19	340203
R3604810000002008020532	1	113	4114	566	26	2334	518	39	2120	5	Y0006	190	11	11	370683
R3604810000002008020533	1	118	4405	552	10	1502	572	42	2207	3	P0103	311	11	12	662400
R3604810000002008020534	1	105	6000	201	32	1801	551	3	2200	2	P0403	299	11	18	370901
R3604810000002008020535	1	120	5710	538	23	2234	545	5	2207	2	W0586	300	11	19	340501
R3604810000002008020536	1	118	7405	506	13	2405	561	43	2109	4	C0310	301	11	12	341404
R3604810000002008020537	1	124	5306	523	10	2222	527	46	2111	2	X0061	312	11	18	622627
R3604810000002008020538	1	105	2114	558	13	2218	528	30	2111	3	I0499	299	11	17	410811
R3604810000002008020539	1	126	5711	539	47	1107	542	33	2306	2	L0704	209	11	13	430523
R3604810000002008020540	1	109	3100	813	15	2328	540	15	2115	4	F0406	205	11	18	420609
R3604810000002008020541	1	101	2210	532	48	350	533	43	2122	3	K1004	190	11	15	522634
R3604810000002008020542	1	109	1108	550	71	2180	542	18	2120	6	X0049	300	11	18	362322
R3604810000002008020543	1	109	4512	300	16	2226	511	24	2115	1	H0900	209	11	12	370921
R3604810000002008020544	1	108	5200	804	21	2116	572	11	2107	6	S9900	312	11	15	513122
R3604810000002008020545	1	111	4480	120	28	2320	570	29	2108	5	L0510	203	11	13	632622
R3604810000002008020546	1	121	6414	515	65	599	519	30	2203	6	X0055	203	11	12	320322
R3604810000002008020547	1	106	5506	802	11	2111	534	34	2308	3	B1099	312	11	11	440784
R3604810000002008020548	1	102	2380	300	26	2287	545	51	2404	1	J0201	202	11	17	511681
R3604810000002008020549	1	104	3305	543	11	2180	533	11	2111	1	Y0063	204	11	11	452424
R3604810000002008020550	1	117	4580	522	14	1707	552	46	2208	4	E0416	299	11	17	411329
R3604810000002008020551	1	127	5411	565	51	2222	519	49	2400	4	B0204	100	11	16	370522
R3604810000002008020552	1	120	3407	100	28	382	529	4	2124	2	C0102	313	11	11	532527
R3604810000002008020553	1	112	4401	535	45	320	602	46	2211	2	E0205	205	11	18	440582
R3604810000002008020554	1	112	2111	533	15	2380	565	81	2203	5	S0204	209	11	17	640302
R3604810000002008020555	1	123	6506	525	12	2215	535	23	2208	1	W0246	299	11	17	220503
R3604810000002008020556	1	125	6413	812	41	1880	546	30	2104	1	X0058	300	11	16	130634
R3604810000002008020557	1	108	3500	526	68	2327	524	41	2309	5	W0554	202	11	15	210404
R3604810000002008020558	1	126	3513	506	65	2222	573	80	2108	3	C0203	313	11	19	430101
R3604810000002008020559	1	117	2106	203	69	2230	568	27	2405	1	H1104	300	11	11	222400
R3604810000002008020561	1	120	5000	539	31	2326	566	48	2210	6	Q0110	312	11	12	321300
R3604810000002008020562	1	125	4405	521	43	1700	564	43	2124	5	T9900	311	11	16	452732
R3604810000002008020563	1	120	4490	100	28	1800	542	30	2113	1	W0620	202	11	13	420000
R3604810000002008020564	1	101	4111	400	48	1406	571	26	2203	2	K0200	311	11	19	430811
R3604810000002008020565	1	103	2490	203	47	1400	568	1	2118	2	I0200	200	11	12	320103
R3604810000002008020566	1	105	5718	121	31	1184	574	2	2101	5	F0605	190	11	12	431230
R3604810000002008020567	1	106	7483	809	44	2282	550	45	2116	5	F0405	120	11	19	230833
R3604810000002008020568	1	116	4300	570	41	2221	539	50	2124	3	X0029	311	11	19	231123
R3604810000002008020569	1	101	4110	400	41	2328	574	46	2405	1	A0201	207	11	16	330326
R3604810000002008020570	1	107	1112	544	61	1504	567	26	2120	6	A1299	201	11	15	140302
R3604810000002008020571	1	118	7110	559	62	2480	501	40	2210	2	Y0001	206	11	13	142631
R3604810000002008020572	1	108	4903	557	69	2114	542	8	2305	5	F0306	100	11	13	330802
R3604810000002008020573	1	101	6000	531	45	2332	545	40	2105	1	D0106	208	11	13	510900
R3604810000002008020574	1	104	6506	567	50	1504	517	14	2122	4	H0999	206	11	14	460000
R3604810000002008020575	1	120	1380	124	72	2285	519	10	2111	4	C0242	200	11	14	610124
R3604810000002008020576	1	110	1000	544	52	1783	574	23	2106	4	E0130	200	11	17	410511
R3604810000002008020577	1	102	7115	404	50	2219	559	4	2302	3	S0106	120	11	19	340421
R3604810000002008020685	1	103	4512	570	42	140	541	45	2307	6	C0106	300	11	17	321200
R3604810000002008020686	1	102	3301	502	70	1309	527	51	2212	5	U0220	312	11	11	432522
R3604810000002008020687	1	111	6200	804	45	2304	602	25	2111	2	E0302	190	11	11	130403
R3604810000002008020688	1	116	3530	811	73	2225	552	30	2307	4	P0403	204	11	19	120102
R3604810000002008020689	1	123	7300	200	32	1499	557	21	2302	1	C0300	110	11	16	230101
R3604810000002008020690	1	117	4281	808	64	2215	570	36	2126	3	I1199	201	11	13	530101
R3604810000002008020691	1	125	6425	533	48	2400	541	34	2200	1	K0800	190	11	13	440305
R3604810000002008020692	1	106	5315	390	24	300	538	34	2109	4	A1503	208	11	15	142715
R3604810000002009010047	1	117	4480	404	21	2202	570	20	2105	5	P0300	204	11	17	513227
R3604810000002009010048	1	116	3280	519	66	2100	566	40	2201	6	W0954	302	11	18	410532
R3604810000002009010052	1	106	1109	552	45	2381	566	36	2207	3	J0399	202	11	13	440100
R3604810000002009010053	1	105	7113	121	48	2231	504	1	2103	6	E0414	311	11	11	362331
R3604810000002009030003	1	108	2204	552	63	2400	504	34	2210	4	A1302	200	11	13	610632
R3604810000002009030007	1	105	5900	523	51	2306	557	6	2211	6	W0004	313	11	18	140414
R3604810000002009030008	1	113	5708	807	21	2480	527	20	2122	4	X0051	209	11	17	350781
R3604810000002009090007	1	103	4101	528	67	2306	535	39	2300	1	Y0014	120	11	13	231102
R3604810000002009090023	1	125	5117	569	32	2300	544	46	2202	3	L0540	208	11	18	530113
R3604810600002007070001	1	116	2300	120	68	330	546	29	2301	2	P0105	206	11	11	430725
R3604810600002007070002	1	118	3220	519	69	2324	516	44	2118	4	I1199	203	11	19	452122
R3604810900002007080001	1	104	4190	549	27	2209	556	32	2105	4	N9900	299	11	19	370830
R3605000000002007010001	1	110	6523	110	32	2301	520	22	2115	5	G0205	190	11	13	620502
R3605000100002007060002	1	107	7481	537	20	2385	515	4	2309	3	B0208	313	11	13	341282
R3605000100002008080001	1	119	4113	509	22	705	562	40	2115	5	R0300	203	11	11	320901
R3605000300002007080012	1	118	7304	490	66	2235	513	16	2202	6	S0104	204	11	16	331081
R3605000300002007080013	1	114	3510	559	42	2205	557	27	2309	2	W0422	208	11	16	431103
R3605000300002008030001	1	120	5509	522	48	1184	525	39	2105	2	C0499	120	11	11	142627
R3605000600002007080003	1	117	7101	532	48	700	537	40	2117	3	W0364	208	11	12	320308
R3605000600002007080004	1	127	7108	520	32	2309	555	6	2406	1	A1796	204	11	15	440825
R3605000600002007080005	1	110	6490	535	21	2220	501	26	2115	3	E0413	202	11	15	331023
R3606810019992007080004	1	124	5405	570	15	1311	511	29	2103	6	C0401	110	11	12	130403
R3606810019992007080019	1	120	2108	404	31	1602	521	28	2107	6	A1399	206	11	16	330327
R3606810019992007100009	1	102	7000	557	52	1502	572	7	2117	2	X0039	311	11	18	370123
R3606810019992008070001	1	102	6109	403	30	704	553	36	2212	4	W0116	202	11	14	360303
R3606810019992008070008	1	103	4601	519	26	300	520	41	2114	2	C0237	206	11	19	440700
R3606810019992008070009	1	116	2121	568	30	120	556	28	2404	5	C0208	190	11	12	350000
R3606810019992008070011	1	107	2205	130	31	1699	542	33	2115	2	N0203	300	11	16	411622
R3606810019992008080001	1	105	3000	100	51	2309	538	4	2207	4	U0440	202	11	16	310226
R3606810119992007100001	1	116	5313	547	24	1701	561	35	2203	5	A1795	299	11	13	330402
R3606810119992007100002	1	104	4911	802	20	2381	540	32	2205	5	C0502	300	11	12	411222
R3606810159992008010001	1	108	5600	545	70	1100	521	29	2205	3	G0304	207	11	16	542129
R3607020019992007070001	1	109	3521	806	70	2404	574	42	2200	2	W0604	299	11	15	330207
R3607020019992007070002	1	107	6423	561	50	1803	522	25	2307	3	C0241	299	11	17	450881
R3607020019992007070003	1	123	5300	121	22	2311	541	26	2209	2	J0207	190	11	14	650106
R3607020019992007080004	1	124	2201	402	28	705	523	11	2309	4	A0111	200	11	11	120107
R3607020019992007080117	1	127	5507	539	64	2107	561	39	2107	3	C0108	311	11	18	370634
R3607020019992007080283	1	109	2405	540	27	1704	551	11	2125	4	W0704	207	11	17	130723
R3607020019992007080292	1	114	2119	404	63	1185	505	23	2213	2	W0642	209	11	12	513233
R3607020019992007080333	1	122	1102	563	31	1899	560	10	2102	5	H0400	205	11	19	420118
R3607020019992007080470	1	127	3590	568	10	2332	571	49	2206	2	E0205	203	11	13	632128
R3607020019992007080566	1	127	5716	201	20	2228	602	47	2404	5	S0103	204	11	15	632724
R3607020019992007080582	1	118	2209	505	15	1601	518	39	2110	5	J0499	203	11	11	210203
R3607020019992007080587	1	103	2202	510	41	2108	521	12	2120	3	E0180	206	11	13	350681
R3607020019992007080595	1	118	3611	809	45	390	516	39	2205	4	A1503	201	11	15	341204
R3607020019992007080652	1	102	2300	505	63	1101	515	22	2110	1	M0501	300	11	13	211401
R3607210019992008030002	1	118	5105	122	11	2325	556	12	2126	2	M0201	190	11	19	362421
R3607210019992008040001	1	118	3308	553	23	2216	566	29	2104	3	X0014	205	11	11	230207
R3607210019992008060001	1	118	3511	547	64	1707	557	32	2212	5	W0380	313	11	17	452729
R3607210019992008060002	1	119	5606	300	14	2203	534	7	2308	2	Y0001	302	11	16	150430
R3607210019992008080011	1	112	2122	406	43	2499	567	15	2212	3	S0101	312	11	13	433127
R3607210019992008080012	1	105	4609	807	26	2110	551	10	2403	3	L0605	301	11	12	410504
R3607210019992008080029	1	123	3522	803	66	2320	564	9	2300	5	C0304	209	11	15	433100
R3607210019992008080030	1	110	4600	556	62	2328	505	9	2302	4	A0921	206	11	17	231005
R3607210019992008080031	1	111	4604	813	65	1183	513	28	2110	4	A1796	204	11	18	532730
R3607210019992008080032	1	114	4507	805	67	703	570	37	2112	4	Y0023	110	11	15	340311
R3607210019992008080033	1	107	5481	124	23	1404	513	29	2400	3	C0108	201	11	17	513100
R3607210019992008080034	1	112	5316	539	30	1881	508	33	2300	6	C0227	190	11	12	370832
R3607210019992008080035	1	107	5290	290	31	2306	543	23	2308	2	X0050	311	11	19	511600
R3607210019992008080036	1	112	5601	542	44	2103	521	32	2105	1	O0200	206	11	15	370306
R3607210019992008080037	1	126	3517	550	43	2232	550	16	2109	5	P0102	311	11	17	340321
R3607210019992008080038	1	121	5400	290	69	2286	517	12	2125	3	S0399	205	11	11	511111
R3607210019992008080039	1	101	5607	568	62	2319	507	19	2404	4	C0215	203	11	14	340400
R3607210019992008080040	1	117	4103	569	24	2324	555	82	2306	6	R0201	312	11	12	360401
R3607210019992008080041	1	116	6304	404	61	1499	509	49	2205	5	C0401	312	11	15	210507
R3607210019992008080042	1	109	5307	403	28	2111	505	39	2118	3	H1106	120	11	15	653024
R3607213119992007070001	1	118	1113	205	31	2327	543	37	2400	2	E0110	201	11	15	411627
R3607213129992007120001	1	116	4209	518	20	1404	517	9	2121	5	N0300	202	11	18	450301
R3607213129992007120002	1	120	5716	552	71	1180	501	80	2209	5	M0199	190	11	14	430681
R3607213129992007120003	1	120	6301	590	14	1781	509	27	2302	4	E0112	203	11	16	632824
R3607213129992007120004	1	120	7304	124	48	1408	529	45	2125	2	C0600	301	11	12	511181
R3607213129992007120006	1	105	6426	560	73	380	503	26	2111	5	U0310	205	11	19	142200
R3607213129992007120007	1	101	4109	800	67	2407	501	14	2103	6	Y0037	201	11	18	411402
R3607213139992007070001	1	103	1101	570	46	2399	519	40	2209	2	V0130	206	11	17	210603
R3607213139992007070002	1	112	7486	551	25	2231	554	17	2114	2	A0603	204	11	17	360322
R3607213139992007070003	1	115	5401	529	14	330	525	42	2212	1	C0107	120	11	19	410600
R3607213139992007070004	1	119	5509	110	31	381	570	19	2211	5	K0750	312	11	15	410823
R3607213139992007070005	1	103	5324	808	42	2318	518	40	2120	1	D0210	100	11	13	421002
R3607213139992007070006	1	107	5403	562	30	1602	524	35	2112	6	Q0899	301	11	19	372925
R3607213139992007070007	1	118	2100	540	16	2334	555	8	2309	3	W0340	208	11	17	510101
R3607213139992007070008	1	112	4201	810	22	2109	509	2	2101	6	M0103	201	11	13	610400
R3607213139992007070009	1	101	6516	805	42	1409	525	27	2101	6	C0215	209	11	14	530125
R3607213139992007070010	1	117	5290	201	63	2218	548	24	2126	6	U0350	205	11	11	622922
R3607213159992007070001	1	116	6433	121	69	2209	506	20	2211	2	A1603	110	11	19	140614
R3607213159992007070002	1	102	4502	121	15	2221	509	43	2200	2	Q0503	313	11	17	371083
R3607213179992007070001	1	118	8900	517	66	1210	541	51	2206	2	A0111	203	11	19	452623
R3607213179992007070002	1	107	7486	568	52	110	536	32	2201	6	C0504	200	11	16	411500
R3607213179992007070003	1	126	5715	510	23	701	558	28	2120	4	Y0063	202	11	11	362329
R3607213179992007070004	1	127	7111	567	69	1101	547	8	2113	2	L0202	208	11	17	542500
R3607213179992007070005	1	108	2101	512	14	1400	522	44	2119	5	W0616	312	11	17	420710
R3607213179992007070006	1	105	7114	201	73	1704	532	22	2100	6	G0102	206	11	11	411728
R3607213179992007070007	1	109	1116	202	28	2313	566	25	2308	2	B0110	206	11	13	622725
R3607213179992007070008	1	112	5200	524	24	2116	518	11	2206	6	Y0057	208	11	13	522401
R3607213179992007070009	1	125	4902	546	46	1502	569	37	2205	5	H0100	203	11	16	441481
R3607213179992007070011	1	121	4480	803	65	2383	566	15	2122	4	Q0500	204	11	15	622800
R3607213179992007070012	1	116	4203	302	60	1500	508	23	2207	6	C0216	204	11	13	513822
R3607220019992007070002	1	113	2205	801	26	2211	510	21	2400	6	W0634	312	11	15	330702
R3607220019992007080001	1	114	2407	526	68	1311	565	15	2102	4	S0108	207	11	18	220522
R3607220019992007080003	1	112	3502	538	31	2481	513	37	2111	6	U0200	312	11	18	371523
R3607220019992008070006	1	105	5616	100	64	1407	568	25	2113	1	P0303	110	11	15	130501
R3607220019992008070007	1	121	6100	528	10	1681	573	16	2307	1	M0101	100	11	11	362329
R3607220019992008070008	1	115	3611	509	31	2110	521	46	2304	4	A0202	311	11	18	410725
R3607220019992008070009	1	102	2204	520	62	2333	515	12	2111	5	C0303	200	11	11	220702
R3607220019992008070010	1	101	2125	400	66	1210	561	34	2204	6	X0030	208	11	11	450105
R3607220019992008070011	1	116	4402	531	32	700	554	32	2403	5	C0699	207	11	16	513428
R3607220019992008070012	1	104	4508	539	45	1702	503	33	2306	5	K0499	204	11	14	450981
R3607220019992008070013	1	108	5102	518	43	2200	556	34	2306	6	U0280	301	11	14	429006
R3607220019992008070014	1	126	6424	540	26	1301	517	4	2119	6	C0300	313	11	12	654126
R3607220019992008070015	1	106	7205	204	30	1299	602	23	2119	6	C0206	209	11	16	630100
R3607220019992008070016	1	107	1113	203	26	2324	516	7	2406	5	I0799	190	11	19	330200
R3607220019992008070017	1	109	5404	524	63	2227	556	10	2106	5	C0245	190	11	17	430381
R3607220019992008070018	1	111	2403	406	32	1402	514	35	2305	3	B0400	302	11	15	341623
R3607220019992008070019	1	109	1100	547	44	2205	567	5	2210	6	V0199	209	11	12	362331
R3607220019992008080001	1	112	6441	801	23	1699	528	23	2406	4	U0310	190	11	14	211081
R3607220019992008080002	1	114	7108	203	73	2287	564	33	2120	1	E0111	110	11	14	130525
R3607220019992008080003	1	114	4503	569	60	320	541	2	2303	3	D0299	312	11	12	410303
R3607220019992008080004	1	109	2109	549	13	2309	515	34	2210	4	D0230	299	11	17	410726
R3607220019992008080005	1	115	4000	500	68	2301	520	37	2212	2	C0302	110	11	14	370322
R3607220019992008080006	1	101	3512	524	12	2335	521	25	2309	3	P0406	202	11	13	230709
R3607220019992008080007	1	117	5204	400	46	2318	523	35	2114	4	M0202	301	11	17	350821
R3607220019992008080008	1	127	2123	531	65	1880	508	39	2205	4	C0107	120	11	12	532928
R3607220019992008080009	1	110	5314	202	30	2305	567	14	2109	4	Q0501	190	11	11	520327
R3607220019992008080010	1	120	2403	520	68	1700	574	37	2402	5	A0303	208	11	14	510421
R3607220019992008080011	1	118	4501	516	21	2325	557	33	2116	3	A0301	209	11	11	150523
R3607220019992008110001	1	102	5311	539	21	1404	510	24	2401	1	U0211	110	11	18	652926
R3607220019992008120001	1	111	5109	202	41	1404	549	19	2121	3	S0107	201	11	18	350700
R3607223069992007080001	1	111	5302	813	32	2113	521	6	2102	1	A1101	300	11	15	510403
R3607223069992007080002	1	110	3509	302	23	1310	555	40	2301	4	Y0032	208	11	18	330106
R3607230019992007070001	1	102	4505	537	50	2226	533	18	2211	1	C0206	100	11	11	150429
R3607230019992007070002	1	101	5502	303	50	2331	538	33	2213	3	Y0007	201	11	14	650107
R3607230019992007070003	1	103	6510	553	47	2223	553	37	2306	3	A1099	190	11	19	350425
R3607230019992007070006	1	107	3200	511	23	1600	568	20	2204	3	C0229	201	11	13	331000
R3607230019992007070007	1	123	7203	540	64	1499	502	14	2300	6	P0407	302	11	12	220323
R3607230019992007070008	1	106	2106	812	16	2228	574	51	2305	6	M0304	313	11	12	350426
R3607230019992007070013	1	106	7400	801	43	2215	521	32	2304	1	H0899	201	11	11	140427
R3607230019992007120002	1	119	5207	519	44	2404	527	37	2109	1	C0223	190	11	19	532622
R3607230019992007120003	1	121	6112	301	44	381	511	11	2201	6	H0102	201	11	16	373007
R3607230019992007120004	1	123	1309	403	28	2106	527	18	2306	6	P0103	313	11	16	350504
R3607230019992007120005	1	103	6421	508	31	140	556	17	2103	4	J0205	201	11	15	652826
R3607230019992007120006	1	121	1114	812	64	1705	569	28	2211	4	I0999	312	11	15	513338
R3607230019992007120007	1	102	5710	801	13	2406	542	48	2405	1	L0604	202	11	19	142322
R3607230019992007120008	1	102	5707	508	24	1702	524	33	2119	4	J9900	313	11	18	130183
R3607230019992007120009	1	119	6425	303	14	1803	515	8	2203	1	B0703	313	11	15	140501
R3607230019992007120010	1	106	7307	590	41	2209	565	50	2401	5	K0830	200	11	13	131001
R3607230019992007120011	1	122	6105	201	51	1700	504	4	2206	5	H1600	299	11	12	140100
R3607230019992007120012	1	109	6522	509	47	1407	537	44	2109	3	X0013	100	11	15	612525
R3607230019992007120013	1	124	4905	302	23	2385	518	10	2123	2	A1500	200	11	15	622425
R3607230019992007120014	1	127	2123	531	70	2286	520	27	2103	1	A0103	200	11	19	530128
R3607230019992007120015	1	110	5603	535	24	2105	517	45	2213	5	W0886	204	11	12	411201
R3607230019992007120016	1	106	6502	529	23	2206	524	4	2105	1	J0209	299	11	19	150100
R3607230019992007120017	1	103	2203	123	25	2328	557	36	2211	2	A0108	100	11	18	350628
R3607230019992007120018	1	114	5608	520	71	1106	602	17	2207	2	E0206	300	11	13	130727
R3607230019992007120019	1	106	4912	511	47	1602	566	82	2204	4	A1400	110	11	15	230800
R3607230019992007120020	1	102	4112	543	13	2406	538	3	2116	3	Y0015	190	11	14	532726
R3607230019992007120021	1	107	4302	509	13	1304	501	14	2209	6	A0110	300	11	15	420981
R3607230019992007120022	1	103	7300	304	21	1502	570	36	2115	5	U0160	204	11	11	350781
R3607230019992008010001	1	119	6111	518	47	1309	525	35	2307	1	E0409	110	11	13	532524
